NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MITOTIC PROMETAPHASE%REACTOME DATABASE ID RELEASE 79%68877	MITOTIC PROMETAPHASE%REACTOME DATABASE ID RELEASE 79%68877	Details ...	173	-0.2542859	---	---	1.0	0.0	2935	tags=23%, list=18%, signal=28%	
METHYLATION%GOBP%GO:0032259	METHYLATION%GOBP%GO:0032259	Details ...	193	-0.2537292	---	---	1.0	0.0	1071	tags=12%, list=7%, signal=13%	
NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009165	NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009165	Details ...	169	-0.31879365	---	---	1.0	0.0	1421	tags=21%, list=9%, signal=23%	
ENDOSOMAL TRANSPORT%GOBP%GO:0016197	ENDOSOMAL TRANSPORT%GOBP%GO:0016197	Details ...	189	-0.3205671	---	---	1.0	0.0	2973	tags=33%, list=18%, signal=40%	
PROTEIN POLYUBIQUITINATION%GOBP%GO:0000209	PROTEIN POLYUBIQUITINATION%GOBP%GO:0000209	Details ...	196	-0.24709228	---	---	1.0	0.0	2831	tags=23%, list=17%, signal=28%	
MACROMOLECULE METHYLATION%GOBP%GO:0043414	MACROMOLECULE METHYLATION%GOBP%GO:0043414	Details ...	185	-0.25107643	---	---	1.0	0.0	1057	tags=11%, list=6%, signal=12%	
CELLULAR RESPONSE TO OXIDATIVE STRESS%GOBP%GO:0034599	CELLULAR RESPONSE TO OXIDATIVE STRESS%GOBP%GO:0034599	Details ...	150	-0.23876856	---	---	1.0	0.0	2660	tags=28%, list=16%, signal=33%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3	RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3	Details ...	93	-0.7175905	-3.2098677	0.0	0.0	0.0	1543	tags=51%, list=9%, signal=55%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	151	-0.6606659	-3.138214	0.0	0.0	0.0	2640	tags=50%, list=16%, signal=59%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	66	-0.7342306	-3.090734	0.0	0.0	0.0	1421	tags=59%, list=9%, signal=64%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	65	-0.72494304	-3.0467114	0.0	0.0	0.0	1421	tags=57%, list=9%, signal=62%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	74	-0.73283273	-3.0237408	0.0	0.0	0.0	1439	tags=57%, list=9%, signal=62%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.2	Details ...	95	-0.6928271	-2.975521	0.0	0.0	0.0	3492	tags=66%, list=21%, signal=84%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	Details ...	76	-0.70964336	-2.9753966	0.0	0.0	0.0	1421	tags=53%, list=9%, signal=57%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	66	-0.7342306	-2.9717605	0.0	0.0	0.0	1421	tags=59%, list=9%, signal=64%	
ELECTRON TRANSPORT CHAIN: OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20220310%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN: OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20220310%WP111%HOMO SAPIENS	Details ...	81	-0.6939616	-2.95293	0.0	0.0	0.0	2791	tags=64%, list=17%, signal=77%	
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	Details ...	43	-0.7704086	-2.9265287	0.0	0.0	0.0	1421	tags=51%, list=9%, signal=56%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%5389840	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%5389840	Details ...	84	-0.65518206	-2.9218535	0.0	0.0	0.0	2577	tags=51%, list=16%, signal=60%	
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	Details ...	42	-0.77468336	-2.918667	0.0	0.0	0.0	1421	tags=52%, list=9%, signal=57%	
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details ...	101	-0.6577128	-2.8650007	0.0	0.0	0.0	1439	tags=44%, list=9%, signal=47%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME DATABASE ID RELEASE 79%163200	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME DATABASE ID RELEASE 79%163200		97	-0.6852613	-2.8534234	0.0	0.0	0.0	1543	tags=48%, list=9%, signal=53%	
OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20220310%WP623%HOMO SAPIENS	OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20220310%WP623%HOMO SAPIENS		42	-0.7681119	-2.8483293	0.0	0.0	0.0	2714	tags=69%, list=17%, signal=83%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2		96	-0.6742429	-2.842413	0.0	0.0	0.0	3612	tags=65%, list=22%, signal=82%	
MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120	MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120		35	-0.80720574	-2.8410854	0.0	0.0	0.0	1421	tags=60%, list=9%, signal=66%	
MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220310%WP4324%HOMO SAPIENS	MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220310%WP4324%HOMO SAPIENS		49	-0.7321192	-2.8312323	0.0	0.0	0.0	1421	tags=49%, list=9%, signal=53%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1		84	-0.66599065	-2.8244417	0.0	0.0	0.0	2577	tags=52%, list=16%, signal=62%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842		87	-0.66403	-2.813201	0.0	0.0	0.0	3492	tags=63%, list=21%, signal=80%	
MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 79%5368287	MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 79%5368287		90	-0.6470967	-2.8102574	0.0	0.0	0.0	2577	tags=49%, list=16%, signal=58%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220310%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220310%WP477%HOMO SAPIENS		80	-0.6431626	-2.7993145	0.0	0.0	0.0	3877	tags=65%, list=24%, signal=85%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108		80	-0.6907399	-2.793211	0.0	0.0	0.0	2610	tags=58%, list=16%, signal=68%	
COMPLEX I BIOGENESIS%REACTOME DATABASE ID RELEASE 79%6799198	COMPLEX I BIOGENESIS%REACTOME DATABASE ID RELEASE 79%6799198		51	-0.74230427	-2.7914212	0.0	0.0	0.0	1421	tags=51%, list=9%, signal=56%	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4		84	-0.6753558	-2.7880492	0.0	0.0	0.0	3586	tags=67%, list=22%, signal=85%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181		117	-0.619207	-2.7866979	0.0	0.0	0.0	3612	tags=57%, list=22%, signal=73%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4		88	-0.67890984	-2.7704062	0.0	0.0	0.0	3492	tags=66%, list=21%, signal=83%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902		84	-0.67264956	-2.761233	0.0	0.0	0.0	3586	tags=65%, list=22%, signal=83%	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%2408557		87	-0.65846986	-2.7475867	0.0	0.0	0.0	3492	tags=63%, list=21%, signal=80%	
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 79%1428517	THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 79%1428517		144	-0.5895704	-2.7470202	0.0	0.0	0.0	2634	tags=46%, list=16%, signal=54%	
NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257	NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257		49	-0.71523654	-2.7217214	0.0	0.0	0.0	1346	tags=49%, list=8%, signal=53%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981		49	-0.71523654	-2.7202785	0.0	0.0	0.0	1346	tags=49%, list=8%, signal=53%	
FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2	FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2		50	-0.7222844	-2.709243	0.0	0.0	0.0	3612	tags=68%, list=22%, signal=87%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900		83	-0.6803213	-2.7089658	0.0	0.0	0.0	1421	tags=49%, list=9%, signal=54%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3		106	-0.644238	-2.7076128	0.0	0.0	0.0	3612	tags=63%, list=22%, signal=81%	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 79%9010553	REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 79%9010553		154	-0.5440754	-2.7034078	0.0	0.0	0.0	3715	tags=58%, list=23%, signal=75%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737		114	-0.6159355	-2.700204	0.0	0.0	0.0	3612	tags=61%, list=22%, signal=77%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613		114	-0.6159355	-2.6967049	0.0	0.0	0.0	3612	tags=61%, list=22%, signal=77%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956		90	-0.67097276	-2.6966138	0.0	0.0	0.0	3492	tags=63%, list=21%, signal=80%	
MITOCHONDRIAL COMPLEX IV ASSEMBLY%WIKIPATHWAYS_20220310%WP4922%HOMO SAPIENS	MITOCHONDRIAL COMPLEX IV ASSEMBLY%WIKIPATHWAYS_20220310%WP4922%HOMO SAPIENS		31	-0.79642045	-2.6943643	0.0	0.0	0.0	2463	tags=71%, list=15%, signal=83%	
TP53 REGULATES METABOLIC GENES%REACTOME%R-HSA-5628897.4	TP53 REGULATES METABOLIC GENES%REACTOME%R-HSA-5628897.4		79	-0.6413553	-2.684304	0.0	0.0	0.0	1936	tags=44%, list=12%, signal=50%	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1		108	-0.5971035	-2.6807084	0.0	0.0	0.0	3492	tags=58%, list=21%, signal=74%	
