NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.7	IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.7	Details ...	89	0.84503174	2.2957692	0.0	0.0	0.0	1079	tags=64%, list=7%, signal=68%	
ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	Details ...	97	0.7792226	2.1323361	0.0	0.0	0.0	2061	tags=56%, list=13%, signal=63%	
HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION	Details ...	141	0.76271456	2.123755	0.0	0.0	0.0	1493	tags=46%, list=9%, signal=50%	
NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002695	NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002695	Details ...	105	0.76777446	2.1102722	0.0	0.0	0.0	962	tags=40%, list=6%, signal=42%	
NEGATIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050866	NEGATIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050866	Details ...	120	0.7576415	2.0986173	0.0	0.0	0.0	1330	tags=42%, list=8%, signal=45%	
REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	Details ...	139	0.7430521	2.0806727	0.0	0.0	0.0	1543	tags=43%, list=9%, signal=47%	
T CELL ACTIVATION%GOBP%GO:0042110	T CELL ACTIVATION%GOBP%GO:0042110	Details ...	127	0.7485685	2.0749364	0.0	0.0	0.0	2241	tags=49%, list=14%, signal=56%	
REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670	REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670	Details ...	138	0.7449319	2.0713491	0.0	0.0	0.0	1543	tags=43%, list=9%, signal=48%	
NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051250	NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051250	Details ...	87	0.7591351	2.0711763	0.0	0.0	0.0	962	tags=38%, list=6%, signal=40%	
POSITIVE REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042102	POSITIVE REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042102	Details ...	66	0.7739614	2.0642872	0.0	0.0	0.0	1246	tags=44%, list=8%, signal=47%	
CELLULAR DEFENSE RESPONSE%GOBP%GO:0006968	CELLULAR DEFENSE RESPONSE%GOBP%GO:0006968	Details ...	36	0.82962006	2.063058	0.0	0.0	0.0	1015	tags=53%, list=6%, signal=56%	
REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	Details ...	154	0.7358741	2.0624096	0.0	0.0	0.0	1543	tags=42%, list=9%, signal=45%	
NEGATIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050868	NEGATIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050868	Details ...	69	0.7695272	2.0518951	0.0	0.0	0.0	1207	tags=42%, list=7%, signal=45%	
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	Details ...	68	0.7627949	2.0499842	0.0	0.0	0.0	1309	tags=46%, list=8%, signal=49%	
PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME%R-HSA-202427.6	PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME%R-HSA-202427.6	Details ...	19	0.89130646	2.0472217	0.0	0.0	0.0	1013	tags=84%, list=6%, signal=90%	
REGULATION OF ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050854	REGULATION OF ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050854	Details ...	44	0.7902069	2.0469131	0.0	0.0	0.0	1079	tags=41%, list=7%, signal=44%	
REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042129	REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042129	Details ...	103	0.74834037	2.0456872	0.0	0.0	0.0	1509	tags=42%, list=9%, signal=46%	
POSITIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032946	POSITIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032946	Details ...	89	0.7472969	2.0426235	0.0	0.0	0.0	1543	tags=44%, list=9%, signal=48%	
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 79%202433	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 79%202433	Details ...	28	0.83216715	2.0415308	0.0	0.0	0.0	1528	tags=68%, list=9%, signal=75%	
B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	Details ...	31	0.83518046	2.04137	0.0	0.0	0.0	1226	tags=52%, list=7%, signal=56%	
POSITIVE REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050671	POSITIVE REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050671		88	0.75029767	2.037276	0.0	0.0	0.0	1543	tags=44%, list=9%, signal=49%	
NEGATIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903038	NEGATIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903038		79	0.75389147	2.037038	0.0	0.0	0.0	1207	tags=39%, list=7%, signal=42%	
NEGATIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070664	NEGATIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070664		49	0.77969766	2.0363598	0.0	0.0	0.0	1207	tags=43%, list=7%, signal=46%	
POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070665	POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070665		99	0.7368666	2.0241282	0.0	0.0	0.0	1543	tags=41%, list=9%, signal=45%	
ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046631	ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046631		37	0.79904336	2.024029	0.0	0.0	0.0	1246	tags=51%, list=8%, signal=55%	
REGULATION OF T CELL MEDIATED IMMUNITY%GOBP%GO:0002709	REGULATION OF T CELL MEDIATED IMMUNITY%GOBP%GO:0002709		58	0.7575057	2.0096886	0.0	3.0633917E-5	0.001	1494	tags=43%, list=9%, signal=47%	
IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064	IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064		28	0.835411	2.009288	0.0	2.949933E-5	0.001	1226	tags=50%, list=7%, signal=54%	
NEGATIVE REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050672	NEGATIVE REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050672		44	0.7878801	2.0064592	0.0	2.844578E-5	0.001	1207	tags=45%, list=7%, signal=49%	
IMMUNE RESPONSE-ACTIVATING SIGNAL TRANSDUCTION%GOBP%GO:0002757	IMMUNE RESPONSE-ACTIVATING SIGNAL TRANSDUCTION%GOBP%GO:0002757		146	0.70916927	2.0062406	0.0	2.7464892E-5	0.001	1934	tags=45%, list=12%, signal=51%	
TYROBP CAUSAL NETWORK IN MICROGLIA%WIKIPATHWAYS_20220310%WP3945%HOMO SAPIENS	TYROBP CAUSAL NETWORK IN MICROGLIA%WIKIPATHWAYS_20220310%WP3945%HOMO SAPIENS		44	0.7759367	2.0053668	0.0	2.6549396E-5	0.001	701	tags=48%, list=4%, signal=50%	
B CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050853	B CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050853		30	0.823918	2.0012996	0.0	2.5692962E-5	0.001	1743	tags=63%, list=11%, signal=71%	
T CELL DIFFERENTIATION%GOBP%GO:0030217	T CELL DIFFERENTIATION%GOBP%GO:0030217		67	0.75313044	1.9974356	0.0	2.489006E-5	0.001	2354	tags=52%, list=14%, signal=61%	
NEGATIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032945	NEGATIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032945		44	0.7878801	1.997005	0.0	2.4135814E-5	0.001	1207	tags=45%, list=7%, signal=49%	
LYMPHOCYTE PROLIFERATION%GOBP%GO:0046651	LYMPHOCYTE PROLIFERATION%GOBP%GO:0046651		30	0.8164055	1.9924095	0.0	2.3425937E-5	0.001	2235	tags=67%, list=14%, signal=77%	
REGULATION OF CELL KILLING%GOBP%GO:0031341	REGULATION OF CELL KILLING%GOBP%GO:0031341		63	0.7431765	1.9896398	0.0	2.2756625E-5	0.001	2294	tags=54%, list=14%, signal=63%	
ALLOGRAFT REJECTION%WIKIPATHWAYS_20220310%WP2328%HOMO SAPIENS	ALLOGRAFT REJECTION%WIKIPATHWAYS_20220310%WP2328%HOMO SAPIENS		55	0.7549349	1.9888866	0.0	2.2124495E-5	0.001	1528	tags=55%, list=9%, signal=60%	
IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002429	IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002429		146	0.70916927	1.9854534	0.0	2.1526535E-5	0.001	1934	tags=45%, list=12%, signal=51%	
TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME DATABASE ID RELEASE 79%202430	TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME DATABASE ID RELEASE 79%202430		15	0.90755326	1.9849133	0.0	2.096005E-5	0.001	1528	tags=100%, list=9%, signal=110%	
REGULATION OF B CELL ACTIVATION%GOBP%GO:0050864	REGULATION OF B CELL ACTIVATION%GOBP%GO:0050864		74	0.73567384	1.9848875	0.0	2.042261E-5	0.001	2443	tags=50%, list=15%, signal=58%	
IL12 SIGNALING MEDIATED BY STAT4%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12 SIGNALING MEDIATED BY STAT4	IL12 SIGNALING MEDIATED BY STAT4%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12 SIGNALING MEDIATED BY STAT4		26	0.83256316	1.9834793	0.0	1.9912048E-5	0.001	1662	tags=69%, list=10%, signal=77%	
TCR SIGNALING IN NAIVE CD4+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TCR SIGNALING IN NAIVE CD4+ T CELLS	TCR SIGNALING IN NAIVE CD4+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TCR SIGNALING IN NAIVE CD4+ T CELLS		60	0.75272983	1.9776902	0.0	1.9426387E-5	0.001	1487	tags=48%, list=9%, signal=53%	
MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032943	MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032943		31	0.80333114	1.9742857	0.0	1.8963854E-5	0.001	2235	tags=65%, list=14%, signal=75%	
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768	IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768		167	0.7075923	1.9728255	0.0	1.8522835E-5	0.001	1934	tags=44%, list=12%, signal=50%	
T CELL SELECTION%GOBP%GO:0045058	T CELL SELECTION%GOBP%GO:0045058		20	0.85858834	1.970892	0.0	3.6207424E-5	0.002	1740	tags=80%, list=11%, signal=89%	
NEGATIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002704	NEGATIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002704		37	0.77905	1.9652169	0.0	3.5402816E-5	0.002	993	tags=43%, list=6%, signal=46%	
NEGATIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002698	NEGATIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002698		66	0.741634	1.9634783	0.0	3.463319E-5	0.002	1171	tags=39%, list=7%, signal=42%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886		25	0.8191661	1.9630791	0.0	3.3896315E-5	0.002	1740	tags=68%, list=11%, signal=76%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002495	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002495		25	0.8191661	1.9613751	0.0	3.319014E-5	0.002	1740	tags=68%, list=11%, signal=76%	
REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002822	REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002822		103	0.71191716	1.959736	0.0	3.251279E-5	0.002	1246	tags=34%, list=8%, signal=37%	
REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050856	REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050856		30	0.80279154	1.9588203	0.0	3.1862535E-5	0.002	785	tags=40%, list=5%, signal=42%	
POSITIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050870	POSITIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050870		174	0.6991308	1.9577599	0.0	3.123778E-5	0.002	1743	tags=37%, list=11%, signal=41%	
REGULATION OF INTERLEUKIN-17 PRODUCTION%GOBP%GO:0032660	REGULATION OF INTERLEUKIN-17 PRODUCTION%GOBP%GO:0032660		26	0.81599325	1.9563907	0.0	3.0637053E-5	0.002	1246	tags=46%, list=8%, signal=50%	
POSITIVE REGULATION OF INTERLEUKIN-4 PRODUCTION%GOBP%GO:0032753	POSITIVE REGULATION OF INTERLEUKIN-4 PRODUCTION%GOBP%GO:0032753		19	0.8625082	1.9552736	0.0	3.0058995E-5	0.002	838	tags=58%, list=5%, signal=61%	
POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION%GOBP%GO:0007204	POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION%GOBP%GO:0007204		100	0.71063125	1.95423	0.0	2.9502347E-5	0.002	1850	tags=44%, list=11%, signal=49%	
