NAME	TITLE	SCORE	
MS4A6A		16.888966	
GIMAP4		16.776995	
GIMAP7		16.076628	
CD2		15.492401	
CD93		15.33729	
SLCO2B1		14.711843	
CYTH4		14.498387	
AMICA1		14.449203	
MNDA		14.43604	
CD300A		14.175336	
AIF1		14.095603	
CD300C		13.99437	
STAB1		13.969841	
PTPRC		13.963768	
SELPLG		13.799832	
CXorf36		13.622654	
LCP2		13.602294	
PLVAP		13.599536	
VSIG4		13.577161	
LILRB1		13.570507	
TNFAIP8L2		13.4683	
HPGDS		13.309667	
HLA-DOA		13.307668	
CD3D		13.305945	
CD3E		13.283758	
LST1		13.270296	
PLEK		13.225512	
HCLS1		13.21178	
SASH3		13.1693125	
CD86		12.962706	
PCDH17		12.89171	
CD300LF		12.884249	
CD1D		12.862984	
GIMAP5		12.811847	
SFRP4		12.737673	
ARHGAP15		12.7047	
GIMAP8		12.604312	
LILRB2		12.6036215	
BCL6B		12.588558	
IGF2		12.554806	
SUCNR1		12.522041	
TNFSF8		12.439925	
APLNR		12.397541	
DAAM2		12.296448	
FGL2		12.276476	
OR51E1		12.275454	
CLEC5A		12.269917	
C1QA		12.231652	
LAIR1		12.205363	
EMCN		12.193795	
CLEC14A		12.176258	
GZMH		12.154496	
CD8B		12.114254	
NCKAP1L		12.105786	
ADGRF5		12.085197	
C1QC		12.006297	
IL10RA		12.004406	
NKG7		11.995618	
ABI3		11.959026	
GPR84		11.947168	
COX4I2		11.8907385	
COL11A1		11.858028	
LRRC25		11.834755	
GZMA		11.823701	
TESPA1		11.777521	
CD48		11.740941	
CD80		11.676356	
CD33		11.652904	
FCGR1A		11.639465	
SIGLEC9		11.638192	
CDH5		11.632053	
LILRB4		11.587208	
PALD1		11.585857	
IL2RB		11.578059	
SIGLEC10		11.533857	
P2RY13		11.510058	
TEK		11.393999	
TCTEX1D1		11.344384	
SIGLEC7		11.335339	
PARVG		11.297415	
MYCT1		11.293396	
CSF1R		11.277331	
FOLR2		11.270596	
CD69		11.247913	
TRAT1		11.239722	
CD300LB		11.239576	
SGIP1		11.234458	
FCGR1B		11.232565	
ARHGEF15		11.196583	
ADGRA2		11.191262	
IGF1		11.166414	
MPEG1		11.146526	
SDS		11.08316	
SIRPG		11.080384	
SNX20		11.075817	
ADGRL4		11.052849	
CD37		10.900494	
F13A1		10.885736	
AOAH		10.879371	
ALOX5AP		10.845972	
FLT1		10.845687	
CLECL1		10.84099	
ARHGAP9		10.793618	
CD3G		10.781125	
SFRP2		10.760773	
ANGPTL2		10.708697	
CD27		10.707221	
PIK3CG		10.697245	
OLR1		10.687476	
LCK		10.6540785	
CST7		10.644548	
ACTA2-AS1		10.62546	
SLC2A3		10.596171	
CD84		10.595035	
SALL4		10.578114	
CPXM1		10.57061	
TIGIT		10.564792	
ITGB2		10.547358	
SCML4		10.501104	
CXorf21		10.498275	
LILRA2		10.491987	
FPR1		10.469627	
HEYL		10.465268	
PTPN7		10.435761	
FCGR3A		10.434468	
GTSF1		10.42884	
PLN		10.415847	
MERTK		10.411194	
NOX4		10.395074	
IRF8		10.363751	
MIR143HG		10.315606	
PRKCB		10.307547	
PODN		10.306304	
HTRA3		10.300747	
KCNJ8		10.26764	
LAPTM5		10.244035	
IBSP		10.210298	
ZEB2		10.207951	
CPED1		10.151944	
NOVA2		10.1499	
CD1E		10.126087	
C3AR1		10.118624	
TMEM233		10.113462	
PTPRO		10.080352	
SLA		10.052702	
HAVCR2		10.046631	
LY86		10.015117	
GNLY		10.008819	
TMEM52B		9.971289	
TENM4		9.957465	
PREX2		9.950184	
LINC01268		9.9456625	
DPEP2		9.944278	
HIGD1B		9.936166	
TSPAN18		9.93589	
CASS4		9.907061	
GMFG		9.876425	
HSPG2		9.872447	
ESM1		9.87123	
FYB		9.860327	
CRYBB1		9.853504	
TLR7		9.837129	
EXOC7		9.831822	
CXCR6		9.7958555	
LMBR1L		9.769016	
FCER1G		9.756699	
S1PR1		9.756278	
ROBO4		9.750911	
LAMA4		9.746488	
GZMK		9.741181	
CD34		9.728961	
CD53		9.723511	
FCRL6		9.714412	
VWF		9.68109	
CD52		9.674714	
TPSB2		9.665856	
FRZB		9.661762	
SLA2		9.660053	
CXCR3		9.655601	
GJA4		9.6273775	
C1orf162		9.620878	
OSM		9.614469	
GPR4		9.614224	
TREM2		9.605834	
SIGLEC1		9.585508	
COL15A1		9.579339	
ADAP2		9.575258	
SCIMP		9.573649	
WNT2		9.559601	
ENPP2		9.524704	
HCK		9.511595	
NRIP2		9.511211	
IL16		9.484108	
CYP2S1		9.478863	
RGL4		9.445965	
TPSAB1		9.4140415	
LDB2		9.400931	
CETP		9.39951	
ZNF683		9.399066	
GPR65		9.392442	
SPARCL1		9.389582	
CFH		9.373076	
MS4A4A		9.369176	
SIGLEC17P		9.368685	
HLA-DRB1		9.36781	
IGSF6		9.352012	
FCGR2B		9.346402	
TEX41		9.334324	
PPP1R16B		9.333915	
APBB1IP		9.327844	
GSN-AS1		9.320011	
ADORA3		9.305943	
CALCRL		9.300374	
TMEM198B		9.297562	
SERPING1		9.294926	
CEACAM21		9.267168	
IGFBP7		9.261666	
LSP1		9.241492	
CD40LG		9.234132	
MSR1		9.231233	
PILRA		9.230199	
CCR2		9.21521	
MEG3		9.205972	
P2RY8		9.2059555	
PRF1		9.199002	
GIMAP6		9.193866	
CD14		9.185449	
GAB3		9.163676	
FCER1A		9.160282	
LAX1		9.156348	
SLAMF1		9.155442	
PRELP		9.11471	
IL2RA		9.105023	
SLAMF6		9.083067	
NLRP3		9.08029	
NAPSB		9.070844	
LZTS1-AS1		9.058414	
CMKLR1		9.043189	
FPR3		9.027857	
CX3CR1		9.026946	
CSF2RB		9.02175	
MEF2C		9.01721	
ST8SIA4		9.001094	
OS9		8.995954	
COL3A1		8.992496	
WAS		8.991721	
PCED1B-AS1		8.9735365	
HLA-DQB2		8.965848	
CTSK		8.962172	
LOC101928227		8.96186	
OLFML2B		8.961474	
CPA3		8.960783	
CCR1		8.936874	
TYROBP		8.915949	
SLC6A1		8.914097	
DMP1		8.910315	
COL8A1		8.909328	
ACTA2		8.906482	
CRTAM		8.902181	
LAMP5		8.901414	
GZMB		8.891686	
DOCK2		8.88819	
DCHS1		8.874807	
PLA1A		8.872633	
SPDYE5		8.866403	
LAIR2		8.856046	
CD1C		8.852215	
MIAT		8.83086	
CD5		8.813586	
COL10A1		8.813346	
LOC100507156		8.799283	
CCRL2		8.790561	
CCDC80		8.785903	
CST1		8.781119	
CD28		8.743213	
AIM2		8.739837	
PDE3A		8.735461	
ALPK2		8.728525	
DOK2		8.713398	
FCGR2A		8.701855	
VCAM1		8.697593	
EBF1		8.687309	
LINC00861		8.684354	
ANGPT2		8.683406	
PPAPDC1A		8.671007	
CD4		8.670849	
MFNG		8.661886	
FGR		8.635236	
ESAM		8.631068	
NR5A2		8.621753	
ZNF366		8.614587	
P2RY12		8.595456	
PPEF1		8.578713	
SLC7A7		8.57406	
RGS18		8.571341	
NRN1		8.558566	
MEI1		8.550547	
GAPT		8.549514	
OLFML1		8.533686	
COL5A2		8.4639435	
SMCR5		8.462042	
CYP26B1		8.458672	
ARAP1		8.44986	
COL1A2		8.4445095	
GALNT15		8.442956	
FAM182B		8.434583	
IL4I1		8.408928	
SYNDIG1		8.389168	
IL7R		8.3791065	
STMN2		8.373702	
UGDH-AS1		8.369566	
VCAN		8.361692	
BNC2		8.355607	
ELMO1		8.331582	
BTK		8.3239355	
PDE1B		8.310937	
COMP		8.302117	
FAT4		8.29572	
INTS3		8.2943735	
SAMD3		8.280272	
FSIP2		8.274324	
FASLG		8.270073	
KLHL6		8.256914	
HSPA12B		8.254781	
TNFRSF9		8.253674	
EVI2B		8.252169	
SRGN		8.240784	
EOMES		8.239993	
MRO		8.230605	
CLEC12A		8.211017	
ACVRL1		8.198754	
COL6A3		8.18089	
CDH6		8.176224	
JAKMIP2		8.170497	
CNRIP1		8.168788	
PDGFRB		8.158314	
ITGA4		8.142047	
LRRC15		8.137358	
CD200		8.129583	
WDR6		8.1281395	
NID2		8.118432	
SPARC		8.104113	
MIR145		8.10405	
SAMSN1		8.096641	
ISLR		8.082983	
THY1		8.064243	
C1QB		8.055476	
GRIP2		8.054805	
PKD2L1		8.043333	
FLI1		8.041022	
NPR1		8.036357	
GBP5		8.034068	
LINC00922		8.026946	
FCN3		8.006391	
LRMP		8.005355	
NOTCH4		8.005281	
ARHGAP25		7.9960318	
ICOS		7.9952407	
CD300E		7.9924154	
MX2		7.9767146	
GRAMD1B		7.9750066	
MMP19		7.9731264	
C1QTNF1		7.972227	
TCF4		7.9686584	
LOC100505635		7.968428	
PLXDC1		7.967877	
FBN1		7.9523425	
CTLA4		7.939169	
PLD4		7.9384933	
SULT1B1		7.936301	
AEBP1		7.933945	
CCDC102B		7.9338264	
ADAMTS2		7.930527	
TLL1		7.9238067	
KLRD1		7.910834	
FAM124B		7.908935	
LOC100294362		7.9039035	
ACRBP		7.901868	
LUM		7.899789	
FILIP1		7.889804	
RGS4		7.885749	
SERPINF1		7.8835673	
TNFSF13B		7.8795977	
PPP2R2B		7.8743014	
STAP1		7.872993	
FAM13C		7.872887	
FAM26F		7.8702855	
SH2D1A		7.8673296	
KLK4		7.866719	
STAG3L2		7.865121	
COLQ		7.8573284	
SPP1		7.855432	
ADAM19		7.838828	
CORIN		7.8299217	
SH2D3C		7.819991	
MIR1245A		7.818091	
FCRL5		7.817653	
TBCCD1		7.814631	
POSTN		7.7904015	
CYBB		7.7899666	
BIN2		7.7775874	
LOC101928139		7.7746825	
PIK3R5		7.771923	
IFFO1		7.771312	
PRND		7.7665405	
BGN		7.7455564	
IRF4		7.738588	
HLA-DPB1		7.710396	
FCRL3		7.7060604	
CRELD1		7.703882	
SYNE1		7.698285	
IL3RA		7.6920037	
ENPEP		7.679869	
TRO		7.6626	
LOC339192		7.6584835	
THBS2		7.6583533	
MFAP5		7.6500783	
GNL3L		7.6424856	
KCNJ5		7.6413274	
PLEKHO2		7.6356564	
DPH1		7.632798	
TGFBI		7.627497	
MYO1F		7.625989	
IGJ		7.625694	
LRP1		7.6249533	
LINC01279		7.6224365	
FBLN2		7.617563	
TIAF1		7.616801	
HAPLN1		7.6009107	
KIAA1462		7.5998535	
PDE2A		7.5961847	
SP140		7.596028	
ECSCR		7.5848403	
WDFY4		7.584791	
CXCL9		7.581647	
CD83		7.564307	
FMNL1		7.5570307	
KCNE3		7.556881	
CRHBP		7.5502076	
CTSW		7.5458455	
ITK		7.5374737	
WISP1		7.534919	
CD163		7.528019	
BTNL9		7.5254345	
OSCAR		7.517108	
SPN		7.5014787	
LYZ		7.4764624	
